gender,forehead_chin,left_ear_right_ear,height,weight,age
1,86.20904824900923,66.06814663663572,5.11,82,40
0,69.87131027825369,54.70831746635972,5.9,62,54
0,89.55445270895244,85.72630868059116,5.3,48,46
0,40.607881008493905,21.540659228538015,5.9,56,57
0,67.4166151627327,67.7421582177598,5.10,54,43
0,30.01666203960727,20.024984394500787,5.2,69,62
0,32.01562118716424,25.179356624028344,5.2,45,31
0,97.18538984847466,72.11102550927978,5.5,57,46
1,38.01315561749642,17.46424919657298,5.5,58,29
0,75.02666192761077,54.230987451824994,5.10,51,32
1,68.8839603971781,56.88585061331157,5.9,71,64
0,38.2099463490856,30.4138126514911,5.9,0,39
0,36.124783736376884,29.427877939124322,5.10,58,47
0,60.13318551349163,75.05997601918082,5.5,52,36
1,95.0,62.0,5.11,76,40
1,39.20459156782532,28.071337695236398,6.1,82,45
1,34.058772731852805,34.058772731852805,6.2,85,61
0,78.23042886243178,64.00781202322104,5.5,56,42
0,42.2965719651132,24.08318915758459,5.10,0,33
0,66.12110101926616,55.08175741568164,5.10,60,62
1,103.00485425454472,65.62011886609167,6.1,82,32
0,43.41658669218482,26.019223662515376,5.7,53,59
1,69.02897942168927,69.02897942168927,5.5,77,60
0,76.6550715869472,64.1248781675256,5.2,48,36
1,55.00909015790027,39.11521443121589,5.9,0,48
0,40.19950248448356,30.14962686336267,5.5,49,45
0,38.01315561749642,32.01562118716424,5.8,62,39
0,92.9623579735368,101.24228365658294,5.5,51,26
1,70.21395872616783,61.1310068623117,5.8,69,49
1,66.61080993352356,57.3149195236284,5.9,72,52
1,35.4682957019364,21.18962010041709,6.1,79,44
1,63.34824385884742,46.87216658103186,6,79,36
0,62.03224967708329,49.01020301937138,5.8,51,30
0,88.0056816347672,71.17583859709698,5.4,62,33
0,48.010415536631214,33.06055050963308,0,0,40
0,85.00588214941364,51.088159097779204,5.7,54,30
1,51.19570294468082,37.656340767525464,5.9,72,52
1,73.00684899377592,55.44366510251645,5.11,77,42
0,89.35882720806042,65.19202405202648,0,0,45
0,71.449282711585,66.03029607687671,5.4,64,39
1,101.17806086301516,72.11102550927978,6,82,41
1,81.02468759581859,61.032778078668514,5.10,0,64
0,88.14193099768123,55.731499172371095,5.10,52,31
0,105.51303237041384,67.62396025078685,5.6,54,30
1,45.0111097397076,36.013886210738214,5.12,74,44
0,42.04759208325728,36.013886210738214,5.9,62,36
0,63.071388124885914,66.03029607687671,5.5,56,31
0,72.02777242147643,56.0357029044876,5.7,62,52
0,88.0056816347672,55.00909015790027,5.9,56,41
0,86.37129152675674,57.07889277132134,5.8,55,31
0,87.05170877128145,68.11754546370561,5.5,56,26
1,40.01249804748511,23.0,5.10,60,43
0,96.08329719571451,86.02325267042627,5.4,0,51
1,175.2512482123879,133.843191832831,6.2,80,56
1,81.30190649671138,50.0,6.2,93,52
0,82.09750300709517,58.137767414994535,5.6,60,41
1,34.132096331752024,21.213203435596427,6.1,72,50
0,42.20189569201838,30.675723300355934,5.6,57,42
0,121.2023102090055,102.17631819555841,5.2,51,30
0,46.010868281309364,35.90264614203248,5.4,55,28
1,94.08506789071261,68.3593446428504,5.11,78,40
1,67.00746227100382,45.17742799230607,6.1,78,37
0,64.76109943476871,57.07889277132134,5.4,49,40
0,103.12128781197411,75.02666192761077,0,0,44
0,30.066592756745816,22.02271554554524,5.10,59,34
0,35.6931365951495,34.0,5.4,45,34
0,27.51363298439521,31.400636936215164,5.9,56,45
0,64.8459713474939,61.39218191268331,5.3,55,31
1,60.13318551349163,47.042533945356304,6.1,86,58
1,95.08417323613851,42.190046219457976,5.1,0,28
0,57.55866572463264,56.22277118748239,5.7,56,46
0,78.26237921249263,77.52418977325722,5.2,52,45
0,55.036351623268054,43.04648650006177,5.3,65,56
0,93.43446901438462,68.18357573492314,5.6,53,53
1,60.29925372672534,43.01162633521314,6.3,84,42
0,67.06713054842886,50.039984012787215,5.7,55,45
0,65.37583651472461,43.289721643826724,5.6,72,40
0,53.85164807134504,47.29693436154187,5,50,57
1,43.41658669218482,38.118237105091836,5.10,73,47
0,37.21558813185679,21.213203435596427,5.9,57,28
0,34.36568055487916,23.021728866442675,5.9,59,42
0,113.63538181394033,70.83078426785913,5.10,54,35
0,72.44308110509934,47.53945729601885,5.8,64,41
